Noise,True_V,Primary_V,Winner,Rg_meas,Yg100,Yg210,Ym210,V_all
-1888.0396800814256,0.022901459350823064,0.013141918846967216,Unique_Solution,5.742599107626777,539.3242018095814,-348.7243242013071,4206.634024538609,[0.013141918846967216]
-1888.0396800814256,0.024406559442933143,,Nearest_Fallback,5.7990941509577665,673.2950172297482,360.8015329720039,2926.550735019961,[nan]
-1888.0396800814256,0.025959556273681562,-0.004296664054004071,Nearest_Fallback,5.8478807342539225,470.6751928714716,-722.3698779082806,5607.803646094081,[-0.004296664054004071]
-1888.0396800814256,0.02756044984306834,,Nearest_Fallback,5.889263564853131,802.1740199533432,741.1144018620661,-638.6509523799652,[nan]
-1888.0396800814256,0.029209240151093475,,Nearest_Fallback,5.951302365106588,679.7202896956566,307.7139225850655,3247.393097443661,[nan]
-1888.0396800814256,0.030905927197756953,-0.00032705811545894695,Nearest_Fallback,5.98948748238131,488.2534181751395,-875.8106237216118,3693.3699071085503,[-0.00032705811545894695]
-1888.0396800814256,0.03265051098305878,0.17186733768371676,Nearest_Fallback,6.04642018995881,663.5428811635841,209.21732791519617,4338.975021975241,[0.17186733768371676]
-1888.0396800814256,0.03444299150699897,,Nearest_Fallback,6.1038469383597596,686.2987238373664,433.06596119163663,3119.3866527198347,[nan]
-1888.0396800814256,0.0362833687695775,,Nearest_Fallback,6.159946796250855,672.1242756029225,115.44315611668387,6676.665957419146,[nan]
-1888.0396800814256,0.0381716427707944,,Nearest_Fallback,6.21175714735159,727.9018445987782,542.056011728377,4539.880450037051,[nan]
-1888.0396800814256,0.04010781351064963,0.038177932914732635,Unique_Solution,6.275479190213891,600.2474040337006,-27.98862950086322,4361.38531395955,[0.038177932914732635]
-1888.0396800814256,0.04209188098914323,0.058180453922758744,Consensus_Selection,6.327994892123839,627.3520068835751,-78.41086421140974,9498.860179606903,"[0.058180453922758744, 0.29022002191923313]"
-1888.0396800814256,0.044123845206275186,-0.008992094057980767,Nearest_Fallback,6.3919098161937375,451.18798165850376,-1151.049717875747,3137.049875040466,[-0.008992094057980767]
-1888.0396800814256,0.04620370616204548,0.0478312659628982,Unique_Solution,6.450635988688467,616.2050650443747,-21.23621948046607,2729.985094076543,[0.0478312659628982]
-1888.0396800814256,0.04833146385645412,0.038986722376889736,Unique_Solution,6.520211537272562,601.7214163227841,-356.6086751909216,3969.1999584198647,[0.038986722376889736]
-1888.0396800814256,0.050507118289501135,,Nearest_Fallback,6.574660493846338,766.9705761416985,505.53972340690416,4602.8529265071,[nan]
-1888.0396800814256,0.05273066946118648,0.16701250548874758,Nearest_Fallback,6.645106922799807,657.4285174295849,164.566919114908,5357.673433688111,[0.16701250548874758]
-1888.0396800814256,0.05500211737151018,,Nearest_Fallback,6.712803955724256,706.9989854166039,392.9483529790128,9603.778707801011,[nan]
-1888.0396800814256,0.05732146202047223,0.029115239906587802,Unique_Solution,6.783622315895972,584.1951068303375,-249.57346108243863,-3766.6777946732595,[0.029115239906587802]
-1888.0396800814256,0.05968870340807267,0.05907305110469857,Nearest_Fallback,6.849335486073298,668.4771960468133,50.78769406506461,657.9266167963242,[0.05907305110469857]
-1888.0396800814256,0.06210384153431142,0.03595643542624677,Unique_Solution,6.921958185314518,597.5932308171847,-190.71731837980082,2708.5842195860737,[0.03595643542624677]
-1888.0396800814256,0.06456687639918854,,Nearest_Fallback,6.9935586069256175,703.3123464165404,286.1357376413509,3517.0757099569714,[nan]
-1888.0396800814256,0.067077808002704,,Nearest_Fallback,7.070251846777672,766.4139384236369,524.4663656855605,166808.18499672157,[nan]
-1888.0396800814256,0.06963663634485784,,Nearest_Fallback,7.138918583441177,767.3249397549112,460.199945762075,485.40456160901874,[nan]
-1888.0396800814256,0.07224336142565002,,Nearest_Fallback,7.220226525184728,737.7532020332463,298.6253798730606,3116.8694813800034,[nan]
-1888.0396800814256,0.07489798324508051,0.013797852781198088,Unique_Solution,7.299471011940846,544.3243886983332,-694.8710281337301,3421.934744119232,[0.013797852781198088]
-1888.0396800814256,0.07760050180314944,0.29220757641379236,Consensus_Selection,7.3752617502598286,629.2012650198751,-134.83529539550307,5704.902381244733,"[0.29220757641379236, 0.058806138824226785]"
-1888.0396800814256,0.08035091709985664,0.0430009318159463,Unique_Solution,7.456512611802242,610.6651294702218,-157.7684037218831,4065.5758261730894,[0.0430009318159463]
-1888.0396800814256,0.0831492291352022,,Nearest_Fallback,7.537223409239557,682.7699172866052,61.53103071046518,4202.0073874006475,[nan]
-1888.0396800814256,0.08599543790918614,0.31443927778904474,Consensus_Selection,7.617706849681762,625.4966093452496,-171.2246158658003,3964.7530270810576,"[0.31443927778904474, 0.05439886746452979]"
-1888.0396800814256,0.08888954342180844,,Nearest_Fallback,7.694925690719084,697.8027646003633,121.16650098802249,-1411.1448003239257,[nan]
-1888.0396800814256,0.09183154567306907,0.03572419097654181,Unique_Solution,7.769093254090884,599.5623286087571,-381.62755898867175,1878.3226913859737,[0.03572419097654181]
-1888.0396800814256,0.09482144466296805,,Nearest_Fallback,7.858923517880428,710.0135566360816,216.04090634915408,3124.2336629309516,[nan]
-1888.0396800814256,0.0978592403915054,0.13679196055096662,Nearest_Fallback,7.947821403397677,658.3110337582707,-87.34711503115598,4708.452588740583,[0.13679196055096662]
-1888.0396800814256,0.10094493285868106,0.2681304512624271,Consensus_Selection,8.041100698244232,635.4744513800098,-213.56758112601926,4690.774189421378,"[0.2681304512624271, 0.06326642810989869]"
-1888.0396800814256,0.10407852206449512,,Nearest_Fallback,8.124214699354832,695.5804287459016,158.57157664460792,3531.7597475251464,[nan]
-1888.0396800814256,0.10726000800894753,0.04212607163775859,Unique_Solution,8.208554396773538,610.6061232041112,-202.9195393451301,41556.34287461342,[0.04212607163775859]
-1888.0396800814256,0.11048939069203828,0.15425544276711595,Consensus_Selection,8.308055767894627,655.8256093092156,-73.67747321742067,2332.9613952517093,"[0.15425544276711595, 0.10825352625706423]"
